time,ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,current_pry,current_sec1,current_sec2,current_sec3,load,power_factor,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,a_f_ratio,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2024-10-02 14:00:00,1.78,17.56,0.81,2.77,2.214286,0.466544,22.140000000000004,43.029210405965785,6357.033180706332,21.970000000000002,20.5,20.799999999999997,20.600000000000005,36.0,-1.0,36.0,1.012635,35.7,111.77,87.02412200000002,360.5,138.1,90.1,434.5,4000.0,4000.0,7.869000000000001,1.997,933.339905,810.347351,1563.0,14.100000000000001,1.4400000000000002,1.2300000000000002,82.58200000000002,0.6480000000000001,0.05,7.34,709.525513,-2.836677,0.47233365959606666
2024-10-02 15:00:00,1.78,17.56,0.81,2.77,2.214286,0.466544,22.14,43.02616455359742,6356.090397409471,21.97,20.700000000000003,22.0,22.800000000000004,33.56,-1.0,33.56,1.014525,30.1,109.32,85.116552,336.6,125.0,86.00000000000001,416.0,3300.0000000000005,3300.0000000000005,9.127273000000002,2.116,878.639771,788.10376,1567.0,14.100000000000001,1.44,1.23,82.58200000000001,0.648,0.05,7.42,684.759766,-4.116461,0.4372256782859406
2024-10-02 17:00:00,1.78,17.56,0.81,2.77,2.214286,0.466544,27.17,43.02007379740571,6354.205124419077,22.470000000000002,20.499999999999996,20.000000000000004,21.3,39.92,-1.0,39.92,1.0098,34.1,108.88000000000001,79.297304,324.90000000000003,130.10000000000002,86.10000000000001,421.8,3400.0000000000005,3400.0000000000005,8.962941,2.576,850.206177,747.768982,1567.0000000000002,14.100000000000001,1.44,1.23,82.582,0.648,0.05,7.42,665.611328,0.346137,0.42000000000000004
2024-10-02 18:00:00,1.76,18.56,0.65,2.97,2.572868,0.400791,27.170000000000005,43.01702891630202,6353.262641757964,22.470000000000002,22.3,18.200000000000003,20.9,38.31,-1.0000000000000002,38.31,1.01115,36.300000000000004,109.14,79.48666200000001,335.1000000000001,130.6,85.80000000000001,421.40000000000003,3500.000000000001,3500.000000000001,8.694857,2.664,881.899475,763.949707,1567.0,14.100000000000003,1.4300000000000002,1.2500000000000002,82.579,0.6410000000000001,0.05000000000000001,7.420000000000001,673.758789,-4.272296,0.42000000000000004
2024-10-02 19:00:00,1.76,18.56,0.65,2.97,2.572868,0.400791,27.17,43.013984381672856,6352.320266341181,22.47,23.100000000000005,21.0,17.900000000000002,38.1,-1.0000000000000002,38.1,1.00467,36.8,110.73,80.64465900000002,337.4000000000001,127.20000000000002,85.90000000000003,423.5,3500.000000000001,3500.000000000001,8.732571,2.261,899.692566,778.320557,1565.0,14.09,1.8600000000000003,1.2300000000000002,82.22700000000002,0.593,0.05,7.5600000000000005,670.726563,-3.43546,0.42
2024-10-03 01:00:00,1.57,16.11,0.8,2.46,2.264298,0.455651,21.57,42.99572508601304,6346.66846287909,22.47,21.7,20.800000000000004,22.700000000000003,36.48,-0.9899999999999999,36.1152,0.63207,50.60000000000001,88.62000000000002,69.504666,346.3,142.00000000000003,88.90000000000002,441.1000000000001,3700.0,3700.0,8.594595000000002,1.233,909.835327,819.483398,1558.0000000000002,14.230000000000002,1.3000000000000003,1.2300000000000002,82.66300000000001,0.577,0.04000000000000001,7.490000000000002,676.223083,-6.561424,1.3010426069826053e-18
2024-10-03 02:00:00,1.57,16.11,0.8,2.46,2.264298,0.455651,21.57,42.99268329478059,6345.726936626443,22.470000000000006,23.5,23.200000000000003,25.199999999999996,31.7,-0.99,31.383,0.63342,48.900000000000006,73.76000000000002,57.849968,258.30000000000007,80.90000000000002,74.60000000000001,364.0,3000.0000000000005,3000.0000000000005,8.772,1.231,917.745667,811.906128,1558.0000000000002,14.23,1.3000000000000003,1.23,82.66300000000001,0.577,0.04,7.490000000000001,681.342468,-4.149529,-3.2526065174565133e-19
2024-10-03 03:00:00,1.57,16.11,0.8,2.46,2.264298,0.455651,21.570000000000004,42.98964194090124,6344.785545747791,22.470000000000002,21.9,23.6,21.200000000000003,35.8,-1.0,35.8,0.58563,48.800000000000004,73.73000000000002,57.826439,246.5,77.6,72.9,342.4,3000.0000000000005,3000.0000000000005,8.306000000000001,1.225,934.683899,793.505432,1558.0,14.230000000000002,1.2999999999999998,1.2300000000000002,82.663,0.577,0.040000000000000015,7.49,705.705627,-2.167676,-2.710505431213761e-19
2024-10-03 04:00:00,1.7,17.83,0.76,2.58,2.370732,0.435773,21.570000000000004,42.98660103573481,6343.844293759338,22.470000000000002,21.3,21.3,19.300000000000004,38.2,-1.0,38.2,0.77274,47.20000000000001,82.85000000000001,64.979255,308.1000000000001,109.80000000000001,82.40000000000002,386.1000000000001,3300.0000000000005,3300.0000000000005,8.518182000000001,1.61,951.442566,781.911438,1558.0,14.18,1.31,1.26,82.67800000000001,0.5720000000000001,0.04000000000000001,7.490000000000001,723.402222,-2.829618,-1.2197274440461925e-19
2024-10-03 05:00:00,1.7,17.83,0.76,2.58,2.370732,0.435773,21.57,42.98356059064111,6342.903184177294,22.470000000000002,21.700000000000003,18.900000000000002,24.400000000000002,38.5,-1.0,38.5,0.769905,46.10000000000001,92.6,72.62618,307.2,112.1,82.8,386.80000000000007,3700.0,3700.0,7.615135000000001,1.715,960.847961,751.997131,1560.0000000000005,14.250000000000002,1.3300000000000003,1.2500000000000002,82.60100000000001,0.569,0.05000000000000001,7.79,691.032288,-3.019407,-1.1858461261560205e-20
