ni_in,fe_in,sio2_in,cao_in,mgo_in,al2o3_in,fe_ni,s_m,bc,loi_in,mc_kilnfeed,fc_coal,gcv_coal,tco,voltage,current,load,rpm,pry_p,sec_p,pry_v,sec_v,total_coal,a_f_ratio,kg_tco,reductor_ratio,reductor_consume,charge_kiln,t_tic162,t_tic163,t_tic166,t_tic172,furnace_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2.05,12.77,37.58,0.45,20.3,1.37,6.23,1.86,0.55,11.17,20.43,43.85,6698.12,127.1,758.3,23.3,35.0,0.52,825.8,295.5,112.2,480.2,4500.0,7.898666667,51.65882218,6.16,127.09,2064.34,1200.0,756.0,512.0,262.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,627.0,-3.0,0.71
2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,820.6,286.3,111.8,472.7,4600.0,7.623913043,50.17999345,6.29,127.09,2064.34,1200.0,774.0,550.0,271.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,607.0,-2.7,0.71
2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,805.0,280.2,111.3,468.3,4600.0,7.56,51.09975561,6.29,127.09,2064.34,849.0,782.0,568.0,277.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,614.0,-3.1,0.71
2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,756.0,269.8,108.0,461.8,4300.0,7.950697674,49.71098266,6.29,127.09,2064.34,1201.0,770.0,557.0,276.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,620.0,-0.9,0.9
2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,757.1,271.2,107.8,462.0,4300.0,7.950697674,49.49925176,6.29,127.09,2064.34,1200.0,749.0,555.0,269.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,610.0,-3.0,0.9
2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,758.9,270.0,108.0,462.9,4300.0,7.966046512,49.71098266,6.29,127.09,2064.34,1201.0,757.0,543.0,276.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,621.0,-2.1,0.75
2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,760.6,265.0,108.4,456.8,4300.0,7.886511628,49.18782887,6.29,127.09,2064.34,1200.0,729.0,526.0,270.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,615.0,-3.2,0.75
2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,760.6,262.7,108.4,456.0,4400.0,7.696363636,49.200492,6.29,127.09,2064.34,1198.0,742.0,538.0,271.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,619.0,-3.4,0.81
2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.5,799.6,282.1,110.7,470.8,4300.0,8.113953488,47.42472703,6.29,129.75,2064.34,1201.0,727.0,518.0,273.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,622.0,-2.9,0.81
2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,12.8912,18.735,37.79,5672.22,129.7,751.7,24.0,35.0,0.5,836.9,289.2,113.3,476.0,4500.0,7.857333333,49.79528605,6.29,129.75,2064.34,1201.0,750.0,539.0,280.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,604.0,-3.0,0.62
